name,Target,Common name / Synonyms,Developer,Clinical domain,Clinical indication,Development status,Monoclonal Antibody (mAb),Linker,Drug/Payload,Cleavage Mechanism/MOA,Notes,References,Clinical Trials,Drug description,Species,Trade/Property Name,Development Technology,International Nonproprietary Name,INN Proposed / List and Year,INN Number,INN Recommended / List and Year,CAS,UNII (FDA),Expression system,Molecular Formula,Molecular Weight,Patents,Regulatory decisions,Origin clone species,NDC Code,Exact Mass,Additional Find Terms,Specificity target name,Molecular Formula: Description,Application,Regulatory agency status and year,Highlight of Prescribing Information,PubChem Structure,MeSH Unique ID,MeSH Heading,Monoisotopic Mass,Molecular Formula: Biological Sequence,Summary of Product Characterization
3A4-PL1601,"KAAG1 (kidney-associated antigen 1), an 84 amino acid protein encoded by the reverse strand of a housekeeping gene called DCDC2.",3A4-PL1601,ADC Therapeutics,Oncology,"Advanced solid tumors with high unmet medical needs, including:  - platinum resistant ovarian cancer - triple negative breast cancer.",Preclinical,"humanized monoclonal antibody 3A4, a humanized antibody against human KAAG1.",Site-specifically conjugated using GlycoConnect technology,"PL1601 (which contains Hydraspace, a valine-alanine cleavable linker and the PBD dimer cytotoxin SG3199).","KAAG1 expressed on the surface of cancer cells and rapidly internalizes and co-localizes with lysosomal-associated membrane protein 1 (LAMP-1), a lysosomal marker. This confirms that the target is efficiently transported to the cellular compartment where efficient release of the cytotoxin, the PBD dimer cytotoxin SG3199, is expected. This is followed by apoptosis of the target tumor cell.","In preclinical development, 3A4-PL1601 showed potent and dose-dependent anti-tumor activity in the KAAG1-expressing, human renal cell carcinoma-derived SN12C xenograft when tested as single dose at 0.3, 0.6 or 1 mg/kg."," Francesca Zammarchi, Francois Bertelli, Karin Havenith, Ian Kirby, Simon Chivers, Patrick H. van Berkel. Pre-clinical characterization of 3A4-PL1601, a novel pyrrolobenzodiazepine (PBD) dimer-based antibody-drug conjugate (ADC) directed against KAAG1-expressing malignancies [abstract]. In: Proceedings of the American Association for Cancer Research Annual Meeting 2019; 2019 Mar 29-Apr 3; Atlanta, GA. Philadelphia (PA): AACR; Cancer Res 2019;79(13 Suppl):Abstract nr 234.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A166 ADC,Human epidermal growth factor receptor 2 (EGFR2; HER2; ErbB2),A166 ADC A166 anti-HER2 ADC A166,Klus Pharma,Oncology,Relapsed/refractory cancers expressing HER2 Antigen or having amplified HER2 Gene.,First in human Phase I/II,,,,,,,NCT03602079 - https://clinicaltrials.gov/ct2/show/NCT03602079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-3A4 ADC,"KAAG-1 (kidney-associated antigen-1); KAAG1-positive cell lines including, SKOV-3 (ovarian), MDA-MB-231 (TNBC) and PC-3 (prostate)",AB-3A4-ADC; AB-3A4; AB-3A4-vcMMAE,Alethia Biotherapeutics,Oncology,Ovarian cancer; Triple Negative Breast Cancer (TNBC); Prostate,,,,Monomethyl auristatin E (MMAE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV-176 (ABV176),PRLR (prolactin receptor);  a tumor-associated antigen (TAA) overexpressed by a variety of tumor cell types,ABBV-176; ABBV176; ABBV 176,Abbvie,Oncology,Advanced solid tumors ,,anti-PTK7 monoclonal antibody,,"Auristatin-0101, an auristatin microtubule inhibitor","Following intravenous administration, the monoclonal antibody moiety of ABBV-176 targets and binds to PRLR expressed on tumor cells. Upon binding and internalization, the cytotoxic agent, Auristatin-0101,  is released and kills the PRLR-expressing tumor cells,",,,NCT03145909 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV-3373,TNF,,AbbVie,Anti-TNF monoclonal antibodies / Antirheumatics,Rheumatoid arthritis (RA),,,,,,,,,ABBV-3373 is an anti-TNF Glucocorticoid Receptor Modulators (GRM) steroid ADC being investigated to treat rheumatoid arthritis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCT-502,HER2 (Human epidermal growth factor receptor 2),ADCT-502 ,ADC Terapeutics,Oncology,Epidermal growth factor receptor 2 (HER2)-expressing solid tumors,Phase I ,A engineered version of the humanized anti-HER2 IgG1 trastuzuma,A cathepsin B-cleavable valine-alanine linker,"Tesirine, a clinically-validated, potent pyrrolobenzodiazepine (PBD-based) dimer toxin (SG3249).   Drug-to-antibody ratio is 1.7",DNA cross linking agents,,,https://adcreview.com/news/first-patient-advanced-solid-tumors-her2-expression-dosed-phase-clinical-trial-adct-502/,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCT-701,DLK1,ADCT-701,ADC Therapeutics,Oncology,Liver,Preclinical,,,Pyrrolobenzodiazepine (PBD) dimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCT-901,"KAAG1 (kidney-associated antigen 1), an 84 amino acid protein encoded by the reverse strand of a housekeeping gene called DCDC2.",,ADC Therapeutics,Oncology,"Advanced solid tumors with high unmet medical needs, including:  - platinum resistant ovarian cancer - triple negative breast cancer.",Preclinical,humanized monoclonal antibody 3A4.  3A4 is a humanized antibody against human KAAG1.,A cathepsin-cleavable linker,"SG3199, a pyrrolobenzodiazepine (PBD)-dimer cytotoxin.","KAAG1 is expressed on the surface of cancer cells and rapidly internalizes and co-localizes with lysosomal-associated membrane protein 1 (LAMP-1), a lysosomal marker. This confirms that the target is efficiently transported to the cellular compartment where efficient release of the cytotoxin, the PBD dimer cytotoxin SG3199, is expected. This is followed by apoptosis of the target tumor cell.",,,NCT04972981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG02,CSP-1 (surface protein named -1) ,,A&G Pharmaceuticals,Oncology,Mesothelioma ,,human cancer cell surface proteins (CSPs),,Saporin  (Routinely used as a cost-effective payload in ADCs for proof-of-concept (POC) studies),,,AACR 2019: Abstract 210: Novel antibody drug conjugate to inhibit mesothelioma tumor growth.  https://cancerres.aacrjournals.org/content/79/13_Supplement/210,,"AG02 conjugated to saporin at 10nM was able to kill cells expressing CSP while it did not kill non-CSP-1 expressing cells, natural or transfected. The drug also acted in a dose dependent fashion, and when tested against different know cancer cell types, AG02 killed >50% of cancer cells while a non-specific mouse IgG-ADC or Drug alone had no effect. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGS-16C3F (AGS 16C3F / AGS-16M8F),AGS-16/ENPP3  (Ectonucleotide pyrophosphatase/phosphodiesterase family member 3),,Agensys/Astellas,,Renal Cell Carcinoma; Liver Carcinoma; Prostate Cancer,Phase I,,Non-cleavable maleimido-caproyl linker,Monomethyl auristatin F (MMAF),non-cleavable linker ( proteolytic cleavage) / Tubulin polymerase inhibitor / tubulin inhibitor; apoptosis stimulants; mitosis inhibitors.,,,http://adc.expert/1Bh6TR5,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
